Export 00400 QP-PH-010 20 12 20,,,,,,,
FAIL_00400_QP-PH-010_45786.3423034722,,,,,,,
,,,,,,,
Section,Parameter,Cadet Name,Units,Measured,Min,Max,P/F
,ENG_SPD,Engine Speed,rpm,4002,3985,4015,PASS
Performance,DYN_SPD,Dyno Speed,rpm,4000,3985,4015,PASS
,TORQUE,Loadcell Torque,Nm,514.4,487.6,539,PASS
,BRK_PWR,Power,kW,215.5,204.2,225.8,PASS
,FUEL_RATE,Measured Mass Flow,g/sec,13.92,13.55,14.95,PASS
,BSFC,Measured SFC,g/kw-hr,232.4,232.6,244.6,FAIL
Air,INT_MNF_P,Engine Inlet Manifold Pressure,KPA,288,275.6,304.5,PASS
,CMP_IN_T,Cell Ambient Temp,DEG_C,5,0,35,PASS
,INT_MNF_T,Engine Inlet Manifold Temp,DEG_C,46,40,60,PASS
Raw Water,RW_PMP_IN_P,Water In Engine WP1,bar,0.31,,,
,RW_PMP_IN_T,Engine Water In WT1,DEG_C,22.4,15,35,PASS
Glycol,TS_OT_T,Engine Coolant Temp,DEG_C,92,80.8,91.2,FAIL
Oil,OIL_FLT_OT_P,Engine Oil Pressure,KPA,659,541,747,PASS
,OIL_FLT_OT_T,Engine Oil Temp,DEG_C,96,95,116.6,PASS
,FUEL_FLT_OT_T,Engine Fuel Temp,DEG_C,26,10,46,PASS
